Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,With BP,With PC,With Communication,Sensing Probability,Initial Runtime (secs),Online Runtime (secs),Success,Nodes Generated Initially,Initial Min SOC,Initial Max SOC,Initial Uncertainty,Initial True Cost,Final Min SOC,Final Max SOC,Final Uncertainty,Distribution,Final True Cost,Objective,Effect on True Cost,True Cost Change,Min SIC,Max SIC,Makespan,Throughput,Number of Collisions,Planner Time
PSIS Experiment Map,96372106,0,128,10737296,True,True,True,1.0,-1,-1,0,407,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,128,10737297,True,True,True,1.0,-1,-1,0,359,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,128,10737298,True,True,True,1.0,-1,-1,0,249,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,128,10737299,True,True,True,1.0,-1,-1,0,359,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,128,10737300,True,True,True,1.0,-1,-1,0,353,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,128,10737301,True,True,True,1.0,-1,-1,0,903,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,128,10737302,True,True,True,1.0,-1,-1,0,383,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,128,10737303,True,True,True,1.0,-1,-1,0,531,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,128,10737304,True,True,True,1.0,-1,-1,0,375,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
PSIS Experiment Map,96372106,0,128,10737305,True,True,True,1.0,-1,-1,0,187,-1,-1,-1,-1,-1,-1,-1,max,-1,Min Best Case,No Change,0,-1,-1,-1,-1,-1,-1
