Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,PC,Bypass,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,nodes expanded initially,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC,True SIC,Makespan,Throughput,Number of Collisions,Planner Time
1,96372106,8,10737296,0,True,True,300,0.0029175281524658203,0.003612041473388672,312,312,0,312,1,312,312,0,312,1.0,max,Min Best Case,True,-1,-1,312,58,0.13793103448275862,0,0.00398564338684082
2,96372106,8,10737297,0,True,True,300,0.003045320510864258,0.003514528274536133,328,328,0,328,1,328,328,0,328,1.0,max,Min Best Case,True,-1,-1,328,68,0.11764705882352941,0,0.004048824310302734
3,96372106,8,10737298,0,True,True,300,0.0022537708282470703,0.002546548843383789,227,227,0,227,1,227,227,0,227,1.0,max,Min Best Case,True,-1,-1,227,53,0.1509433962264151,0,0.0030164718627929688
4,96372106,8,10737299,0,True,True,300,0.012881278991699219,0.004178047180175781,291,291,0,291,2,291,291,0,291,1.0,max,Min Best Case,True,-1,-1,291,65,0.12307692307692308,0,0.014507770538330078
5,96372106,8,10737300,0,True,True,300,0.0019905567169189453,0.002899646759033203,219,219,0,219,1,219,219,0,219,1.0,max,Min Best Case,True,-1,-1,219,62,0.12903225806451613,0,0.003081083297729492
6,96372106,8,10737301,0,True,True,300,0.008689641952514648,0.0048067569732666016,283,283,0,283,3,283,283,0,283,1.0,max,Min Best Case,True,-1,-1,281,53,0.1509433962264151,0,0.009822607040405273
7,96372106,8,10737302,0,True,True,300,0.0053021907806396484,0.00393223762512207,341,341,0,341,3,341,341,0,341,1.0,max,Min Best Case,True,-1,-1,340,60,0.13333333333333333,0,0.006304502487182617
8,96372106,8,10737303,0,True,True,300,0.015002012252807617,0.0040209293365478516,331,331,0,331,2,331,331,0,331,1.0,max,Min Best Case,True,-1,-1,331,85,0.09411764705882353,0,0.016248226165771484
9,96372106,8,10737304,0,True,True,300,0.04854273796081543,0.004683494567871094,350,350,0,350,14,350,350,0,350,1.0,max,Min Best Case,True,-1,-1,347,60,0.13333333333333333,0,0.0497584342956543
10,96372106,8,10737305,0,True,True,300,0.005972862243652344,0.003389120101928711,299,299,0,299,2,299,299,0,299,1.0,max,Min Best Case,True,-1,-1,299,70,0.11428571428571428,0,0.0069921016693115234
11,96372106,8,10737306,0,True,True,300,0.006799221038818359,0.007191896438598633,273,273,0,273,2,273,273,0,273,1.0,max,Min Best Case,True,-1,-1,273,63,0.12698412698412698,0,0.011454343795776367
12,96372106,8,10737307,0,True,True,300,0.002351045608520508,0.003979921340942383,251,251,0,251,1,251,251,0,251,1.0,max,Min Best Case,True,-1,-1,251,69,0.11594202898550725,0,0.00417637825012207
13,96372106,8,10737308,0,True,True,300,0.01701211929321289,0.0041081905364990234,337,337,0,337,5,337,337,0,337,1.0,max,Min Best Case,True,-1,-1,337,64,0.125,0,0.01809096336364746
14,96372106,8,10737309,0,True,True,300,0.012624502182006836,0.0029144287109375,232,232,0,232,2,232,232,0,232,1.0,max,Min Best Case,True,-1,-1,232,51,0.1568627450980392,0,0.013430356979370117
15,96372106,8,10737310,0,True,True,300,0.07754325866699219,0.004488706588745117,317,317,0,317,17,317,317,0,317,1.0,max,Min Best Case,True,-1,-1,313,56,0.14285714285714285,0,0.07877969741821289
16,96372106,8,10737311,0,True,True,300,0.002345561981201172,0.0037381649017333984,251,251,0,251,1,251,251,0,251,1.0,max,Min Best Case,True,-1,-1,251,63,0.12698412698412698,0,0.003549814224243164
17,96372106,8,10737312,0,True,True,300,0.006195783615112305,0.0035064220428466797,293,293,0,293,1,293,293,0,293,1.0,max,Min Best Case,True,-1,-1,293,83,0.0963855421686747,0,0.007413625717163086
18,96372106,8,10737313,0,True,True,300,0.008076190948486328,0.003312826156616211,283,283,0,283,2,283,283,0,283,1.0,max,Min Best Case,True,-1,-1,283,63,0.12698412698412698,0,0.009031295776367188
19,96372106,8,10737314,0,True,True,300,0.011273384094238281,0.0026433467864990234,180,180,0,180,7,180,180,0,180,1.0,max,Min Best Case,True,-1,-1,177,38,0.21052631578947367,0,0.012179851531982422
20,96372106,8,10737315,0,True,True,300,0.017173051834106445,0.004131793975830078,343,343,0,343,4,343,343,0,343,1.0,max,Min Best Case,True,-1,-1,341,59,0.13559322033898305,0,0.018398523330688477
